Candidate_ID,Time_to_Hire,Time_to_Recruit,Missing_Start_Date,Active_Demands,Candidate_Experience,Recruiter_ID,Job_Level,Interview_Scores
1,11,23,0,5,5,19,Mid,373
2,24,59,0,7,1,20,Junior,6
3,19,18,0,7,8,32,Senior,99
4,15,35,0,9,1,7,Junior,380
5,12,11,0,3,11,41,Junior,233
6,25,29,1,7,1,33,Mid,37
7,11,37,0,1,2,40,Mid,280
8,23,56,1,4,2,39,Mid,349
9,27,16,1,4,12,18,Mid,497
10,15,53,1,5,6,40,Mid,302
11,15,17,0,7,7,1,Senior,181
12,28,56,0,7,5,11,Junior,95
13,25,44,0,4,1,28,Junior,99
14,8,23,0,7,1,25,Junior,188
15,12,26,1,3,3,23,Junior,481
16,28,45,0,6,14,31,Mid,116
17,7,59,0,2,2,30,Junior,191
18,26,49,0,9,5,42,Senior,253
19,25,13,0,5,12,35,Senior,469
20,6,11,0,6,10,7,Junior,416
21,28,15,1,4,6,16,Junior,471
22,16,51,0,7,7,26,Senior,161
23,10,13,1,9,4,48,Senior,256
24,6,38,0,7,7,49,Mid,323
25,25,27,1,1,11,2,Senior,128
26,5,35,0,1,8,1,Mid,18
27,16,53,0,9,11,48,Mid,281
28,26,43,1,9,1,12,Mid,490
29,16,19,1,4,6,5,Mid,223
30,29,45,1,9,8,37,Mid,54
31,21,23,0,3,5,32,Junior,58
32,14,40,1,7,4,9,Senior,323
33,20,57,0,6,2,41,Mid,360
34,19,24,0,8,6,35,Senior,174
35,19,17,1,9,6,19,Senior,280
36,23,23,1,5,11,48,Mid,114
37,16,32,0,1,1,16,Junior,288
38,27,49,0,3,9,3,Mid,431
39,24,30,1,8,12,20,Junior,342
40,29,25,1,6,11,24,Senior,151
41,7,54,1,8,6,33,Junior,450
42,9,27,0,9,13,24,Junior,127
43,23,56,0,4,3,11,Junior,155
44,11,33,0,1,4,49,Senior,490
45,25,35,0,1,12,8,Senior,386
46,13,34,0,4,11,36,Junior,474
47,11,54,0,7,4,38,Junior,273
48,22,50,1,2,3,40,Mid,104
49,8,38,0,3,10,20,Junior,417
50,29,24,0,1,3,35,Mid,393
